date,code,shares,price,commission,cash
2021-09-10,sh603260,900,213.64,59.60556,807664.39444
2021-09-10,sh600111,3300,58.71,60.06032999999999,613861.3341099999
2021-09-10,sh600089,10400,18.64,60.09536,419945.2387499999
2021-09-10,sz002466,1600,119.75,59.395999999999994,228285.8427499999
2021-09-10,sh601669,24500,8.06,61.21569999999999,30754.627049999894
2021-09-17,sz002466,-1600,106.4,137.8944,200856.7326499999
2021-09-28,sh600111,-3300,43.14,115.31322,343103.4194299999
2021-09-28,sh601669,-24500,7.62,151.2189,529642.2005299999
2021-10-12,sh600011,26000,6.15,49.569,369692.6315299999
2021-10-12,sh600089,700,14.88,5.10416,359271.5273699999
2021-10-12,sh600010,54900,2.97,50.546429999999994,196167.98093999992
2021-10-12,sz002837,22200,7.49,51.54617999999999,29838.434759999916
2021-10-13,sh600010,-54900,2.83,125.84726999999998,185079.58748999992
2021-10-26,sz002837,-22200,11.07,199.06074,430634.52674999996
2021-10-26,sh600188,21000,8.9,57.93899999999999,243676.58774999995
2021-10-26,sh600039,38100,4.94,58.346340000000005,55404.24140999993
2021-10-26,sh600011,4200,6.05,7.8770999999999995,29986.364309999928
2021-10-26,sh603260,100,180.49,5.59519,11931.769119999928
2021-10-26,sh601225,1600,7.19,5.11504,422.6540799999275
2021-10-29,sh600188,-21000,6.22,105.8022,130936.85187999991
2021-10-29,sh601225,-1600,5.4,9.406400000000001,139567.4454799999
2021-11-01,sh603260,-1000,158.18,128.1258,297619.3196799999
2021-11-11,sh600011,-30200,5.58,136.49795999999998,465998.8217199999
2021-11-15,sh600089,-11100,15.65,140.70915,639573.1125699999
2021-11-23,sh600039,-8000,5.53,35.8344,683777.2781699998
2021-11-23,sh600522,9700,17.32,52.081239999999994,515721.19692999986
2021-11-23,sh600233,11000,15.35,52.34349999999999,346818.8534299999
2021-11-23,sz002028,3400,48.03,50.623619999999995,183466.2298099999
2021-11-23,sh601058,13100,12.92,52.46812,14161.761689999897
2021-12-07,sh601058,-13100,12.39,131.47028999999998,176339.2913999999
2021-12-14,sh600039,-2200,6.16,11.91152,189879.3798799999
2021-12-14,sh600522,600,16.66,5.09996,179878.2799199999
2021-12-14,sz002920,1300,130.99,52.78896999999999,9538.49094999992
2021-12-14,sz002837,700,12.1,5.0847,1063.40624999992
2021-12-21,sh600522,-10300,15.65,130.56795,162127.83829999992
